Time,PM10,PM25,PM100,Temperature,Gas,Relative Humidity,Pressure,Altitude
1707958057.4072819,0,0,1,24.199921875,194235,44.88295795922873,1005.1547667884201,67.61740753465888
1707958058.4207945,0,0,1,24.1973828125,197141,44.90677376536768,1005.1659721152676,67.52350805007696
1707958059.4344602,0,0,1,24.1938671875,197733,44.894305073734316,1005.1635440507176,67.5438549089304
1707958060.4481623,0,0,1,24.1883984375,197971,44.881608755116225,1005.1612915552644,67.56273055762708
1707958061.4610307,0,0,1,24.181953125,200869,44.83263972514428,1005.1677022501323,67.50900977369037
1707958062.4739602,0,0,1,24.1753125,201607,44.75354461488721,1005.1686419032443,67.5011356269097
1707958063.4868772,0,0,1,24.169453125,202599,44.65651892046486,1005.1657380299393,67.52546965234554
1707958064.499839,0,0,1,24.1637890625,204105,44.58965623752576,1005.1717348080691,67.47521760811891
1707958065.5126321,0,0,1,24.1587109375,204613,44.52288903211188,1005.1752776995719,67.445528856493
1707958066.526669,0,0,1,24.1534375,205892,44.438090019778535,1005.1767799093568,67.43294065204812
1707958067.540011,0,0,1,24.148359375,206408,44.38340354138313,1005.1888975513649,67.33139789832548
1707958068.552854,0,0,1,24.142890625,205892,44.33469811185677,1005.1797838849031,67.40776800966819
1707958069.5649989,0,0,1,24.1376171875,207579,44.304049771705635,1005.1795706632698,67.40955475720025
1707958070.5778644,0,0,1,24.125703125,209827,44.27864449037009,1005.1871551432573,67.34599877347188
1707958071.5907042,0,0,1,24.1122265625,212261,44.20503094771444,1005.1887048497957,67.33301268064272
1707958072.6047935,0,0,1,24.09953125,211715,44.095543497097815,1005.1984152659944,67.25164256882958
1707958073.6176462,0,0,0,24.08859375,213085,44.01631201022393,1005.2007650862691,67.23195193911481
1707958074.6305099,0,0,0,24.0723828125,215314,43.93651363044129,1005.2063290097727,67.18532845498571
1707958075.6434708,0,0,0,24.053828125,215174,43.844507403131715,1005.2079851325071,67.17145084012985
1707958076.6563458,0,0,0,24.034296875,217734,43.710544430032016,1005.2028677926882,67.2143320642281
1707958077.669515,0,0,0,24.0126171875,218022,43.570470284172785,1005.2061707360548,67.18665472342349
1707958078.682363,0,0,0,23.9891796875,219329,43.41239854540495,1005.2013975942953,67.22665176083873
1707958079.6951675,0,0,0,23.9653515625,220062,43.272347550939344,1005.1959712341489,67.27212269640037
1707958080.7079804,0,0,0,23.946015625,222290,43.144859772433186,1005.1551686695286,67.61403979772118
1707958081.7208557,0,0,0,23.9278515625,222590,43.01760875301645,1005.1403222654113,67.73845239988329
1707958082.733699,0,0,1,23.909296875,223194,42.89041743578203,1005.1316816502118,67.81086128640212
1707958083.7447884,0,0,1,23.890546875,224105,42.775208517420396,1005.1278574382443,67.84290857866573
1707958084.7558599,0,0,1,23.87453125,223800,42.69607328300209,1005.1097326588776,67.99479744927582
1707958085.7662904,0,0,1,23.8528515625,223800,42.634178989968504,1005.1027370547953,68.05342244729484
1707958086.777375,0,0,1,23.8329296875,226105,42.60222474807981,1005.0763856633872,68.27425698877784
1707958087.788722,0,0,2,23.8149609375,225332,42.56455501774206,1005.0652887636662,68.36725457244644
1707958088.8016102,0,0,1,23.7973828125,226260,42.5328805371207,1005.0359872564691,68.61281989063907
1707958089.8145392,0,0,1,23.7801953125,227511,42.48343948717885,1005.0124792344732,68.80983629891999
1707958090.8273866,0,0,1,23.765546875,227354,42.41648864405508,1004.9863475625892,69.02884541367295
1707958091.838864,0,0,1,23.7505078125,227511,42.38513207238007,1004.9629929184927,69.22458420598551
1707958092.8499022,0,0,1,23.737421875,229413,42.37180361006633,1004.9308965540456,69.49359468339114
1707958093.860948,0,0,1,23.723359375,228458,42.334633448522425,1004.9160256853663,69.61823481773273
1707958094.8719823,0,0,0,23.706953125,229893,42.29721252598672,1004.8869648140294,69.86181272122859
1707958095.8830485,0,0,0,23.6903515625,231184,42.22420256493815,1004.8661476484949,70.03629831640362
1707958096.8959641,0,0,0,23.67765625,230214,42.16351477228684,1004.843272690982,70.22803531491577
1707958097.908897,1,1,2,23.6637890625,230214,42.138271984206575,1004.8115897234936,70.49360654583936
1707958098.9216766,2,2,3,23.6462109375,231672,42.13039776634495,1004.7891449689834,70.6817458380586
1707958099.9344919,2,2,3,23.6313671875,231346,42.122827564712075,1004.7695441336323,70.84604925076715
1707958100.948078,2,2,3,23.6173046875,231672,42.12126931787387,1004.7461046351898,71.04253354880612
1707958101.961776,1,1,2,23.6044140625,232818,42.13169057541908,1004.7177643222104,71.2801044463655
1707958102.9752965,1,1,2,23.59171875,232489,42.13028389345283,1004.6897499575034,71.51494832073284
1707958103.9882743,1,1,2,23.5766796875,233313,42.12861775673035,1004.6663969857487,71.71071988088227
1707958105.002314,1,1,2,23.5583203125,233810,42.09696495971562,1004.6495040315805,71.85233841505448
1707958106.0155685,1,1,2,23.5391796875,234476,42.059311846101274,1004.6313083765249,72.00488002548882
1707958107.0285144,0,1,2,23.524921875,234476,42.01628902093715,1004.6161107010655,72.13229006263985
1707958108.0407856,0,1,2,23.5110546875,234309,41.99699799047958,1004.599850570846,72.26860894011436
1707958109.0537224,0,1,2,23.494453125,235145,42.036603564391505,1004.5944520740221,72.31386832245187
1707958110.0664542,0,1,2,23.462421875,237691,42.04490519763063,1004.5821792045328,72.41676112139994
1707958111.0813286,0,1,2,23.4175,238552,42.004426047279196,1004.5706857364395,72.51312052859775
1707958112.0954473,0,1,2,23.376875,239245,41.9466872441571,1004.5560699363958,72.63565835929047
1707958113.1090806,0,0,0,23.331171875,240643,41.87659046260684,1004.5483988406381,72.69997285958065
1707958114.1218784,0,0,0,23.2940625,241526,41.80747825398865,1004.5413443678391,72.75911794130045
1707958115.1358643,0,0,0,23.239375,242951,41.75419982740536,1004.5375185660579,72.79119381112989
1707958116.1497958,1,1,1,23.1891796875,244393,41.695535468880394,1004.5291826679821,72.86108308073968
1707958117.1630177,1,1,1,23.1284375,245486,41.65345941816825,1004.5255114539418,72.89186317271556
1707958118.1759567,1,1,1,23.065546875,245670,41.64068053591375,1004.5250905807748,72.89539185178587
1707958119.1888998,2,2,2,23.0032421875,247144,41.604366738598,1004.5222054001335,72.91958177623822
1707958120.2023969,2,2,2,22.9434765625,247144,41.59784526820511,1004.5235379761086,72.90840918902882
1707958121.2148776,2,2,2,22.8821484375,248449,41.62655768789137,1004.5205368037634,72.93357164351045
1707958122.227378,1,2,2,22.84015625,247330,41.64558017954583,1004.5172515830004,72.96111568891763
1707958123.238456,1,2,2,22.7907421875,247888,41.66969569347676,1004.508425085593,73.03511943163558
1707958124.2494917,1,2,2,22.742109375,248637,41.68209508509578,1004.5008922631444,73.09827706984991
1707958125.2605486,2,2,2,22.6907421875,248262,41.717805008917985,1004.4990556194659,73.11367614712377
1707958126.2716198,2,2,2,22.64171875,248449,41.753775328677236,1004.4891403948109,73.19680932950159
1707958127.2826495,2,2,2,22.59640625,249201,41.790155507438826,1004.4836960983931,73.24245675601648
1707958128.2953608,1,1,1,22.56125,249768,41.833555121501796,1004.4866340047092,73.21782400499208
1707958129.308437,1,1,1,22.52765625,250338,41.883040470197756,1004.492173064668,73.1713821501436
1707958130.3214092,1,1,1,22.488984375,249201,41.931981600930605,1004.4892335818641,73.19602800913154
1707958131.3343482,1,1,1,22.45578125,249768,42.005172886896275,1004.495412914475,73.14421795563926
1707958132.347075,1,1,1,22.4301953125,249201,42.09696631199177,1004.4920612667358,73.17231950991676
1707958133.3600113,0,0,0,22.3989453125,250719,42.16451726856578,1004.48438663349,73.23666698851193
1707958134.3735895,0,0,0,22.3649609375,249013,42.237708696607854,1004.4892483797562,73.19590393724121
1707958135.3865385,0,0,0,22.333125,249579,42.32892618204908,1004.4942694474287,73.15380523185826
1707958136.4004593,0,0,0,22.303046875,249958,42.42630516406664,1004.4953786088251,73.14450558753515
1707958137.4137514,1,1,1,22.276875,249579,42.5182376211159,1004.5012928846755,73.09491811872007
1707958138.4278443,1,1,1,22.2512890625,251293,42.580628485157845,1004.5064715819519,73.05149820593763
1707958139.4410973,1,1,1,22.2284375,250910,42.63740967959291,1004.5025313149085,73.08453469307743
1707958140.454071,1,1,1,22.21125,250148,42.69483406617868,1004.5012031667112,73.09567034543846
1707958141.467079,1,1,1,22.1962109375,250528,42.740643374562765,1004.5051695637231,73.06241474085179
1707958142.4801092,1,1,1,22.1825390625,250338,42.81036326338063,1004.5045775379014,73.0673784774086
1707958143.4927979,1,1,1,22.1676953125,249579,42.86810074047317,1004.5105775474004,73.01707256083888
1707958144.5057743,0,0,0,22.1469921875,249013,42.919264073163056,1004.5119250461387,73.0057747523345
1707958145.518708,0,0,0,22.1255078125,248262,43.006013926892955,1004.5102568031248,73.01976177288836
1707958146.5312276,0,0,0,22.10421875,249579,43.110667936772984,1004.5191702956987,72.94502875211336
1707958147.544199,1,1,1,22.0841015625,250719,43.19171005215475,1004.5197801300324,72.93991576339533
1707958148.5570908,1,1,1,22.0676953125,249768,43.2612963910737,1004.512906958049,72.9975421343692
1707958149.5700321,1,1,1,22.0505078125,251293,43.33082158226294,1004.5098571447276,73.02311262454973
1707958150.5829542,1,1,1,22.03390625,251101,43.37065418997771,1004.51975030555,72.94016581852597
