Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712798369.6,0,0,28.5,0.0,1.0,2.0,23.68517578125,38.52610066464254,1011.4398379909973,15.081748225266857,101917.0
1712798371.63,0,0,20.5,0.0,1.0,2.0,23.686542968749997,38.52909284079769,1011.436045339859,15.113370439644182,101948.0
1712798373.6,0,0,34.5,0.0,1.0,2.0,23.690546875,38.53520919712886,1011.4331245721573,15.1377231592284,102763.5
1712798375.63,0,0,34.5,1.0,1.0,1.0,23.6919140625,38.52964740203085,1011.4276083837012,15.183716102349084,102386.5
1712798377.6,0,0,27.5,1.0,1.0,1.0,23.6903515625,38.50097394935364,1011.4250491024816,15.20505495790454,102416.0
1712798379.63,0,0,24.0,1.0,1.0,1.0,23.69015625,38.46674551025415,1011.4230057404627,15.22209223118104,103235.5
1712798381.61,0,0,24.0,1.0,1.0,1.0,23.68673828125,38.452141459431004,1011.426024569708,15.196921667075177,102824.0
1712798383.63,0,0,26.5,1.0,1.0,1.0,23.68849609375,38.41527533670404,1011.4314889487766,15.151360677861291,102824.0
1712798385.59,0,0,26.5,1.0,1.0,1.0,23.6895703125,38.41253659463482,1011.4418657452509,15.064841345881963,102446.5
1712798387.64,0,0,41.5,1.0,1.0,1.0,23.687617187500003,38.398089364830554,1011.436943141365,15.105884777114817,102103.5
1712798389.6,0,0,28.0,1.0,1.0,1.0,23.689082031250003,38.40108949453868,1011.4358955913054,15.114619014427802,102824.0
1712798391.65,0,0,20.0,1.0,1.0,1.0,23.68791015625,38.389572206138496,1011.4348378391983,15.12343831091965,102887.0
1712798393.57,0,0,31.5,1.0,1.0,1.0,23.68791015625,38.389572206138496,1011.4348378391983,15.12343831091965,102887.0
1712798395.62,0,0,31.5,1.0,1.0,1.0,23.683222656250003,38.38339208584023,1011.4314685169361,15.15153104194559,103173.5
1712798397.64,0,0,18.5,1.0,1.0,1.0,23.67892578125,38.374403693243565,1011.4227069799928,15.224583231301413,103524.0
1712798399.63,0,0,27.5,1.0,1.0,1.0,23.676386718750003,38.36559691278943,1011.4306120471317,15.158672120333787,103690.5
1712798401.61,0,0,29.5,1.0,1.0,1.0,23.67423828125,38.36822454960456,1011.4253695511919,15.202383143767216,103363.5
1712798403.61,0,0,29.5,1.0,1.0,1.0,23.67228515625,38.3594782963075,1011.4230320818497,15.221872577169446,103880.5
1712798405.62,0,0,29.5,1.0,1.0,1.0,23.66837890625,38.38186579974831,1011.4304209679307,15.160265274019512,102307.5
1712798407.6,0,0,20.5,1.0,1.0,1.0,23.66701171875,38.52993531568498,1011.427319831753,15.186122008969686,102106.0
1712798409.64,0,0,28.5,1.0,1.0,1.0,23.66330078125,38.61511124090025,1011.4307199804888,15.157772222846551,102228.0
1712798411.6,0,0,30.5,1.0,1.0,1.0,23.661152343749997,38.61774271321048,1011.4340943721993,15.129637194908085,103525.5
1712798413.63,0,0,30.5,0.0,1.0,1.0,23.66056640625,38.56918915680046,1011.4374430391385,15.101716751295648,103013.5
1712798415.6,0,0,27.0,0.0,1.0,1.0,23.6598828125,38.526342498024974,1011.4449401867746,15.039207547035527,104201.0
1712798417.64,0,0,29.0,0.0,1.0,1.0,23.65841796875,38.50053130953479,1011.4477108553974,15.016106513332815,104983.0
1712798419.61,0,0,31.0,0.0,1.0,1.0,23.6548046875,38.474503144197655,1011.4504089958328,14.99361026680467,103395.0
1712798421.63,0,0,28.5,0.0,1.0,1.0,23.653828125,38.45445137246709,1011.4436392521645,15.050054336495581,103651.0
1712798423.59,0,0,28.5,0.0,1.0,1.0,23.6548046875,38.434602978938706,1011.4478239447262,15.015163581268544,103331.5
1712798425.63,0,0,26.5,0.0,1.0,1.0,23.6540234375,38.41742558966722,1011.4422358212547,15.061755743040184,103619.0
